2.200000000000000000e+01 7.133302290218944499e-17 7.438449786834488488e-17 3.838938842988068245e+01 6.766103768865210100e+01
2.219999999999999929e+01 8.000000000000000572e-17 8.000000000000000572e-17 2.959246724609030821e+02 2.824069523130830248e+02
2.239999999999999858e+01 4.435715073454813671e-17 6.833677774047187716e-17 5.058065876586040588e+01 7.700358963312653771e+01
2.259999999999999787e+01 4.757172478698504169e-17 2.917282676424443801e-17 6.024348794707839261e+01 2.554258202134162303e+01
2.279999999999999716e+01 3.766217437422350951e-17 5.296634013751036919e-17 4.407527683900890736e+01 9.652129660755386453e+01
2.299999999999999645e+01 5.472154574139535176e-17 6.283583114301389534e-17 1.827599216687452213e+02 1.919761833678859375e+02
2.319999999999999574e+01 3.316702367232628813e-17 4.238507149896240326e-17 9.867745589166416664e+01 1.203687539834054974e+02
2.339999999999999503e+01 3.080690648329679752e-17 4.105917021939922476e-17 1.117547922113582786e+02 3.066093241164886081e+02
2.359999999999999432e+01 2.695633163774195614e-17 2.409361434920086485e-17 6.591929538651841369e+01 8.133888843673545921e+01
2.379999999999999361e+01 3.025729572716131830e-17 2.545235598353303566e-17 5.334565557688752051e+02 6.801294588424400445e+01
2.399999999999999289e+01 1.665135046072966072e-17 2.909153530138967936e-17 6.998160741170846677e+01 1.332323274007563327e+02
